Source,Target,Type,Id,Label,Weight
1568303753115144194,1638320544788406273,Directed,0,,247
1568303753115144194,1186590420626804737,Directed,1,,75
1568303753115144194,1478147158859788290,Directed,2,,180
1568303753115144194,1242287686095794176,Directed,3,,22
1568303753115144194,1638372580464685056,Directed,4,,230
1568303753115144194,1636462225794670601,Directed,5,,27
1568303753115144194,2960042892,Directed,6,,177
1568303753115144194,50635701,Directed,7,,93
1568303753115144194,703814694667198464,Directed,8,,39
1568303753115144194,772457957829316608,Directed,9,,60
1568303753115144194,1643605068921421825,Directed,10,,44
1568303753115144194,994276795192086528,Directed,11,,71
1568303753115144194,1012427773678366721,Directed,12,,4
1568303753115144194,1043631398366654464,Directed,13,,174
1568303753115144194,1107179341421707264,Directed,14,,32
1568303753115144194,1338550576599195655,Directed,15,,12
1568303753115144194,1577715113679020032,Directed,16,,45
1568303753115144194,1524700831345373184,Directed,17,,12
1568303753115144194,1554905423886548992,Directed,18,,45
1568303753115144194,1573982906988503041,Directed,19,,1
1568303753115144194,38154763,Directed,20,,79
1568303753115144194,1251475704803405826,Directed,21,,92
1568303753115144194,2330215110,Directed,22,,1
1568303753115144194,785860478069342209,Directed,23,,5
1568303753115144194,1469776398265069571,Directed,24,,6
1568303753115144194,48187231,Directed,25,,44
1568303753115144194,1580960286978236416,Directed,26,,4
1568303753115144194,1384818140706652161,Directed,27,,1
1568303753115144194,1394066133922156546,Directed,28,,62
1568303753115144194,1640904775276326913,Directed,29,,3
1568303753115144194,972611156,Directed,30,,109
1568303753115144194,1681455609118326784,Directed,31,,102
1568303753115144194,1189752218,Directed,32,,19
1568303753115144194,1573393725568557057,Directed,33,,11
1568303753115144194,1558756902309355520,Directed,34,,90
1568303753115144194,75861029,Directed,35,,28
1568303753115144194,1497800562162737152,Directed,36,,1
1568303753115144194,1053580015986765824,Directed,37,,44
1568303753115144194,1583212500232933377,Directed,38,,45
1568303753115144194,1588433792645177345,Directed,39,,2
1568303753115144194,1616954341851648000,Directed,40,,51
1568303753115144194,1576019107329282048,Directed,41,,66
1568303753115144194,1638272105161842688,Directed,42,,18
1568303753115144194,1623426853410164742,Directed,43,,1
1568303753115144194,1218640877419188224,Directed,44,,32
1568303753115144194,1416725066,Directed,45,,6
1568303753115144194,1603767524406984706,Directed,46,,1
1568303753115144194,1041985034964672512,Directed,47,,21
1568303753115144194,1029210461684867072,Directed,48,,4
1568303753115144194,1646743874092638211,Directed,49,,11
1568303753115144194,1647639066450735104,Directed,50,,17
1568303753115144194,1645751225701347328,Directed,51,,17
1568303753115144194,1574497778436300801,Directed,52,,11
1568303753115144194,226928166,Directed,53,,4
1568303753115144194,1617271743206268929,Directed,54,,1
1568303753115144194,1080647556,Directed,55,,38
1568303753115144194,1572570659712110593,Directed,56,,90
1568303753115144194,1199816676675670016,Directed,57,,111
1568303753115144194,1511738725050449920,Directed,58,,7
1568303753115144194,1261807960885321729,Directed,59,,1
1568303753115144194,1032558697,Directed,60,,16
1568303753115144194,1640970275826089987,Directed,61,,1
1568303753115144194,53341507,Directed,62,,2
1568303753115144194,1292732052354355201,Directed,63,,20
1568303753115144194,1490267822072729601,Directed,64,,44
1568303753115144194,1574693752077275139,Directed,65,,10
1568303753115144194,1112025263850901506,Directed,66,,4
1568303753115144194,1572512750030438400,Directed,67,,98
1568303753115144194,1621577788045275136,Directed,68,,1
1568303753115144194,1582733191672385536,Directed,69,,5
1568303753115144194,1598049486282047488,Directed,70,,18
1568303753115144194,1249146360584114177,Directed,71,,30
1568303753115144194,1573617862446563330,Directed,72,,86
1568303753115144194,1316871821317361670,Directed,73,,1
1568303753115144194,1500298026530877451,Directed,74,,66
1568303753115144194,1163760331002392577,Directed,75,,1
1568303753115144194,1573212677983313922,Directed,76,,4
1568303753115144194,946961836003401734,Directed,77,,43
1568303753115144194,888966422893928449,Directed,78,,1
1568303753115144194,975494625095028737,Directed,79,,8
1568303753115144194,1643833711614410752,Directed,80,,72
1568303753115144194,1593364889019498497,Directed,81,,1
1568303753115144194,1638895382137651202,Directed,82,,7
1568303753115144194,1706719411711696896,Directed,83,,37
1568303753115144194,1169476002222940162,Directed,84,,4
1568303753115144194,1371110373961646083,Directed,85,,36
1568303753115144194,1473356476580352005,Directed,86,,3
1568303753115144194,1296922437800677381,Directed,87,,39
1568303753115144194,1574488552250933250,Directed,88,,1
1568303753115144194,1573221924926373889,Directed,89,,2
1568303753115144194,1490080950365085696,Directed,90,,6
1568303753115144194,1582882166597246977,Directed,91,,1
1568303753115144194,1573615156713689088,Directed,92,,1
1568303753115144194,1612537175328825359,Directed,93,,1
1568303753115144194,1346149931023798274,Directed,94,,9
1568303753115144194,1392985949382995977,Directed,95,,1
1568303753115144194,1646741342444302337,Directed,96,,2
1568303753115144194,1558783775584182272,Directed,97,,6
1568303753115144194,1652864429791510528,Directed,98,,1
1568303753115144194,1370279648970555392,Directed,99,,61
1568303753115144194,1040968883144990725,Directed,100,,23
1568303753115144194,1252192266443272196,Directed,101,,82
1568303753115144194,1645357369298153475,Directed,102,,27
1568303753115144194,1416128503,Directed,103,,5
1568303753115144194,1574521584743768072,Directed,104,,34
1568303753115144194,1509254564469428231,Directed,105,,32
1568303753115144194,1574114490869862401,Directed,106,,215
1568303753115144194,1550936600397447169,Directed,107,,1
1568303753115144194,1654318410497392642,Directed,108,,2
1568303753115144194,1541318977367973888,Directed,109,,8
1568303753115144194,1570519055554969600,Directed,110,,8
1568303753115144194,1643525583140270081,Directed,111,,73
1568303753115144194,1531082260027281408,Directed,112,,4
1568303753115144194,62855930,Directed,113,,2
1568303753115144194,219819371,Directed,114,,5
1568303753115144194,748584200014536704,Directed,115,,16
1568303753115144194,1660049202569773056,Directed,116,,40
1568303753115144194,1248350208225878016,Directed,117,,8
1568303753115144194,1578172231573700608,Directed,118,,2
1568303753115144194,1526823888906231809,Directed,119,,10
1568303753115144194,1525153468675137536,Directed,120,,1
1568303753115144194,476691303,Directed,121,,15
1568303753115144194,2894661244,Directed,122,,32
1568303753115144194,1518885707321905154,Directed,123,,1
1568303753115144194,1640093268317724672,Directed,124,,3
1568303753115144194,2916680884,Directed,125,,2
1568303753115144194,894177293710610434,Directed,126,,1
1568303753115144194,1647623661480984576,Directed,127,,4
1568303753115144194,1707217411080925184,Directed,128,,4
1568303753115144194,1420812686934302721,Directed,129,,4
1568303753115144194,1551602714517307393,Directed,130,,1
1568303753115144194,945886639603310592,Directed,131,,5
1568303753115144194,1612207845642047492,Directed,132,,4
1568303753115144194,1288793297721290754,Directed,133,,6
1568303753115144194,1707855532881809408,Directed,134,,4
1568303753115144194,1488835812112441345,Directed,135,,21
1568303753115144194,38220732,Directed,136,,9
1568303753115144194,875599848761737216,Directed,137,,5
1568303753115144194,1557772247930212352,Directed,138,,2
1568303753115144194,1573619336597626881,Directed,139,,2
1568303753115144194,1518680960946130946,Directed,140,,5
1568303753115144194,1651156435588329474,Directed,141,,10
1568303753115144194,1419883110225698816,Directed,142,,14
1568303753115144194,1534307095314681867,Directed,143,,19
1568303753115144194,1266443918981255169,Directed,144,,2
1568303753115144194,1562418652032684034,Directed,145,,24
1568303753115144194,1638232589533061136,Directed,146,,1
1568303753115144194,1008062167172644864,Directed,147,,24
1568303753115144194,1656624502397100032,Directed,148,,1
1568303753115144194,1576935438039793665,Directed,149,,2
1568303753115144194,1291259527938093057,Directed,150,,3
1568303753115144194,1571734612153634817,Directed,151,,1
1568303753115144194,1393479363132379139,Directed,152,,14
1568303753115144194,1676213344062021632,Directed,153,,25
1568303753115144194,1512735323687727104,Directed,154,,24
1568303753115144194,1619126103968456705,Directed,155,,1
1568303753115144194,1326087377136267264,Directed,156,,1
1568303753115144194,1578153202305974273,Directed,157,,1
1568303753115144194,1596117986200506368,Directed,158,,1
1568303753115144194,1683983896713601024,Directed,159,,3
1568303753115144194,1386076323286814724,Directed,160,,4
1568303753115144194,1472758506902204423,Directed,161,,1
1568303753115144194,878301870468608000,Directed,162,,3
1568303753115144194,1638570663047725057,Directed,163,,35
1568303753115144194,1443926663243440139,Directed,164,,2
1568303753115144194,1196864822,Directed,165,,1
1568303753115144194,3164924710,Directed,166,,1
1568303753115144194,1238564924508516353,Directed,167,,3
1568303753115144194,1574837076884951043,Directed,168,,1
1568303753115144194,1315559520727437312,Directed,169,,4
1568303753115144194,47536841,Directed,170,,5
1568303753115144194,1485311883271933956,Directed,171,,6
1568303753115144194,1636689500586876931,Directed,172,,71
1568303753115144194,1626241462126972928,Directed,173,,1
1568303753115144194,1573869416218996741,Directed,174,,71
1568303753115144194,1329710757865459712,Directed,175,,7
1568303753115144194,947626817493585920,Directed,176,,30
1568303753115144194,1040326301285052418,Directed,177,,3
1568303753115144194,1616731570668290050,Directed,178,,3
1568303753115144194,1631288716328161283,Directed,179,,36
1568303753115144194,47481067,Directed,180,,1
1568303753115144194,1379391392,Directed,181,,1
1568303753115144194,1324725705532448769,Directed,182,,12
1568303753115144194,1596154813082763264,Directed,183,,14
1568303753115144194,1270789421756026881,Directed,184,,17
1568303753115144194,1655964835664756738,Directed,185,,1
1568303753115144194,1680518972037292037,Directed,186,,1
1568303753115144194,1569804670805352448,Directed,187,,1
1568303753115144194,1638469421197848579,Directed,188,,7
1568303753115144194,1700769788765589504,Directed,189,,1
1568303753115144194,849819334293803013,Directed,190,,2
1568303753115144194,1605464791161741312,Directed,191,,8
1568303753115144194,1636979523693473799,Directed,192,,4
1568303753115144194,1323908457624424448,Directed,193,,1
1568303753115144194,1704949913971314689,Directed,194,,9
1568303753115144194,947322816990298112,Directed,195,,1
1568303753115144194,1156625716655599617,Directed,196,,9
1568303753115144194,1519714962754523142,Directed,197,,1
1568303753115144194,1578399264274882560,Directed,198,,17
1568303753115144194,1362436556481581060,Directed,199,,1
1568303753115144194,1525051315801542659,Directed,200,,12
1568303753115144194,2149491403,Directed,201,,1
1568303753115144194,1610979512249982978,Directed,202,,1
1568303753115144194,1623218354289876993,Directed,203,,10
1568303753115144194,1511744013988241411,Directed,204,,2
1568303753115144194,893757772025798656,Directed,205,,1
1568303753115144194,1352042017665265666,Directed,206,,10
1568303753115144194,998618523483156480,Directed,207,,5
1568303753115144194,896665728463638528,Directed,208,,1
1568303753115144194,1106789874701619200,Directed,209,,7
1568303753115144194,1416018828182556672,Directed,210,,1
1568303753115144194,1242363361,Directed,211,,2
1568303753115144194,1489383149838733312,Directed,212,,5
