Source,Target,Type,Id,Label,Weight
1000064596290424832,1411377479634276358,Directed,0,,2
1000064596290424832,1445444813143216140,Directed,1,,1
1000064596290424832,1743513189600391168,Directed,2,,1
1000360620112433152,1147080345067687936,Directed,3,,1
1000360620112433152,1234568599785943050,Directed,4,,1
1000360620112433152,1269647773307199488,Directed,5,,4
1000360620112433152,1301455247928365056,Directed,6,,1
1000360620112433152,1360515696434806794,Directed,7,,1
1000360620112433152,1468240500192862219,Directed,8,,4
1000360620112433152,1617465622111129600,Directed,9,,1
1000360620112433152,1624169753538355223,Directed,10,,1
1000360620112433152,1645473700961976343,Directed,11,,1
1000360620112433152,1653744499779092481,Directed,12,,1
1000360620112433152,1656228998228189184,Directed,13,,1
1000360620112433152,1659212841717747713,Directed,14,,1
1000360620112433152,1670727831951757315,Directed,15,,1
1000360620112433152,1683408869257617409,Directed,16,,1
1000360620112433152,1691082595549806592,Directed,17,,1
1000360620112433152,1692195298917883904,Directed,18,,1
1000360620112433152,1694758479808880641,Directed,19,,1
1000360620112433152,1695173272885760001,Directed,20,,1
1000360620112433152,1695321628912025601,Directed,21,,1
1000360620112433152,1702217750054162432,Directed,22,,1
1000360620112433152,1704010283809746944,Directed,23,,1
1000360620112433152,1719684732,Directed,24,,1
1000360620112433152,1792276068516188161,Directed,25,,1
1000360620112433152,1852566217,Directed,26,,1
1000360620112433152,2184707526,Directed,27,,3
1000360620112433152,2221999644,Directed,28,,5
1000360620112433152,2222645863,Directed,29,,1
1000360620112433152,2238937418,Directed,30,,1
1000360620112433152,2723935129,Directed,31,,1
1000360620112433152,3244928586,Directed,32,,2
1000360620112433152,3390890626,Directed,33,,1
1000360620112433152,3554230816,Directed,34,,2
1000360620112433152,4593859049,Directed,35,,1
1000360620112433152,47546320,Directed,36,,1
1000360620112433152,719791976212799488,Directed,37,,1
1000360620112433152,723965884398731265,Directed,38,,4
1000360620112433152,748971580584255488,Directed,39,,1
1000360620112433152,751636138151055360,Directed,40,,1
1000360620112433152,771628634964537344,Directed,41,,1
1000360620112433152,789562063089725440,Directed,42,,1
1000360620112433152,803339766313975808,Directed,43,,1
1000360620112433152,857977336808996864,Directed,44,,1
1000360620112433152,861138568009310211,Directed,45,,2
1000360620112433152,862242937156976642,Directed,46,,1
1000360620112433152,868736088755453953,Directed,47,,1
1000360620112433152,870292251389382657,Directed,48,,3
1000360620112433152,920253589708083201,Directed,49,,1
1000360620112433152,931938860963061760,Directed,50,,15
1000360620112433152,948936333598236674,Directed,51,,1
1000360620112433152,954298565182050304,Directed,52,,5
1000360620112433152,966733612082171904,Directed,53,,2
1001065971254083589,1750478747130634240,Directed,54,,1
1001144665175883776,1176506435800313856,Directed,55,,1
1001144665175883776,1249146360584114177,Directed,56,,1
1001144665175883776,1369735432318181378,Directed,57,,1
1001144665175883776,1408229739710627848,Directed,58,,1
1001144665175883776,1496197498595069954,Directed,59,,1
1001144665175883776,1550545991778340865,Directed,60,,1
1001144665175883776,1720399000518410240,Directed,61,,1
1001144665175883776,1754945068589355008,Directed,62,,1
1001144665175883776,2377612094,Directed,63,,1
1001144665175883776,25033880,Directed,64,,1
1001144665175883776,2804605933,Directed,65,,1
1001144665175883776,746767750635356160,Directed,66,,1
1001144665175883776,945886639603310592,Directed,67,,1
1001144665175883776,997171000407044097,Directed,68,,1
1001222093034479616,1555647943276896257,Directed,69,,1
1001795918180515840,1555647943276896257,Directed,70,,1
1001877298734387210,1573221924926373889,Directed,71,,2
1001877298734387210,2265794169,Directed,72,,2
1001877298734387210,3301947536,Directed,73,,1
1001931386293510145,1496197498595069954,Directed,74,,1
1001986182954106880,1326165515686043648,Directed,75,,1
1002149552974106624,1369735432318181378,Directed,76,,1
1002149552974106624,1523040177534517250,Directed,77,,1
1002149552974106624,1643174831108620291,Directed,78,,1
1002149552974106624,171200086,Directed,79,,1
1002149552974106624,1750110426296156160,Directed,80,,1
1002149552974106624,2265794169,Directed,81,,1
1002149552974106624,896665728463638528,Directed,82,,1
1002149552974106624,991910028213972992,Directed,83,,1
1002509065803755521,1812872783451308032,Directed,84,,1
1003415141826867201,2502068521,Directed,85,,1
1003630673100464131,1251878680344788995,Directed,86,,2
1003630673100464131,1525816087429976064,Directed,87,,1
1003630673100464131,1527480967308386318,Directed,88,,1
1003630673100464131,1581568746472218625,Directed,89,,1
1003630673100464131,1665038759761412096,Directed,90,,1
1003630673100464131,1799179232049799168,Directed,91,,1
1003925862876614658,1709211023071223808,Directed,92,,1
1004250340466806784,1801537689369333761,Directed,93,,1
1004373072386895872,730244724095754240,Directed,94,,1
1004423309331595264,2383680417,Directed,95,,1
1004519263691067392,1341998931241299968,Directed,96,,1
1004519263691067392,1570884250555109377,Directed,97,,1
1004742267901497346,1438539246130827269,Directed,98,,1
1004742267901497346,1808739237627637761,Directed,99,,1
1004742267901497346,2221999644,Directed,100,,1
1004742267901497346,842133314785828865,Directed,101,,1
1004742267901497346,947844496225644545,Directed,102,,1
1004820770776854529,1598272643874045953,Directed,103,,1
1005013384910143489,1301455247928365056,Directed,104,,4
1005013384910143489,1454945126,Directed,105,,1
1005013384910143489,1496197498595069954,Directed,106,,1
1005013384910143489,1548755261380255744,Directed,107,,1
1005013384910143489,1617465622111129600,Directed,108,,1
1005013384910143489,1698790160442241024,Directed,109,,1
1005013384910143489,1720181876,Directed,110,,1
1005013384910143489,2221999644,Directed,111,,2
1005013384910143489,2318855006,Directed,112,,1
1005013384910143489,2364228536,Directed,113,,1
1005013384910143489,2590446609,Directed,114,,1
1005013384910143489,718535900402098176,Directed,115,,1
1005013384910143489,748241134040776704,Directed,116,,2
1005013384910143489,767295992723111936,Directed,117,,2
1005013384910143489,798980880039428097,Directed,118,,1
1005013384910143489,841616996550684673,Directed,119,,1
1005013384910143489,852104627566899200,Directed,120,,1
1005013384910143489,931938860963061760,Directed,121,,2
1005185803172106241,728252911675944961,Directed,122,,3
1005397787020791810,1709211023071223808,Directed,123,,1
1005511178410393600,2557069540,Directed,124,,1
1005591411042013184,1065658304884547585,Directed,125,,1
1005591411042013184,1065717383514341376,Directed,126,,1
1005591411042013184,1080647556,Directed,127,,2
1005591411042013184,1082699331260608512,Directed,128,,2
1005591411042013184,1090158040026963968,Directed,129,,4
1005591411042013184,1212306310349250562,Directed,130,,1
1005591411042013184,1249146360584114177,Directed,131,,4
1005591411042013184,1266443918981255169,Directed,132,,1
1005591411042013184,1285324454764187650,Directed,133,,1
1005591411042013184,1373720898,Directed,134,,1
1005591411042013184,1461339471719374851,Directed,135,,1
1005591411042013184,1478147158859788290,Directed,136,,4
1005591411042013184,1523746208723972100,Directed,137,,1
1005591411042013184,1524700831345373184,Directed,138,,1
1005591411042013184,1525051315801542659,Directed,139,,1
1005591411042013184,1550545991778340865,Directed,140,,1
1005591411042013184,1559508190110404609,Directed,141,,1
1005591411042013184,1568303753115144194,Directed,142,,3
1005591411042013184,1573452109814661120,Directed,143,,1
1005591411042013184,1573617862446563330,Directed,144,,2
1005591411042013184,1573755083296309256,Directed,145,,1
1005591411042013184,1574114490869862401,Directed,146,,1
1005591411042013184,1583129268153901056,Directed,147,,1
1005591411042013184,1600181381220507651,Directed,148,,1
1005591411042013184,1613903983030026240,Directed,149,,3
1005591411042013184,1638372580464685056,Directed,150,,3
1005591411042013184,1639733491611959296,Directed,151,,1
1005591411042013184,1645357369298153475,Directed,152,,2
1005591411042013184,1656624502397100032,Directed,153,,2
1005591411042013184,1707217411080925184,Directed,154,,1
1005591411042013184,1741069766511497236,Directed,155,,1
1005591411042013184,1763535092276686848,Directed,156,,1
1005591411042013184,1764363051870859265,Directed,157,,1
1005591411042013184,1808106163227045888,Directed,158,,1
1005591411042013184,1810765787847872513,Directed,159,,4
1005591411042013184,18336608,Directed,160,,10
1005591411042013184,2265794169,Directed,161,,1
1005591411042013184,2377612094,Directed,162,,1
1005591411042013184,2572902906,Directed,163,,1
1005591411042013184,3122109020,Directed,164,,1
1005591411042013184,38220732,Directed,165,,1
1005591411042013184,410718052,Directed,166,,1
1005591411042013184,4420207816,Directed,167,,2
1005591411042013184,477934944,Directed,168,,2
1005591411042013184,50635701,Directed,169,,3
1005591411042013184,740550489490743296,Directed,170,,2
1005591411042013184,814864263189843968,Directed,171,,2
1005591411042013184,874330245037527040,Directed,172,,2
1005591411042013184,876905949872750593,Directed,173,,1
1005591411042013184,878301870468608000,Directed,174,,1
1005591411042013184,893757772025798656,Directed,175,,1
1005591411042013184,896665728463638528,Directed,176,,1
1005591411042013184,920590762294816769,Directed,177,,1
1005591411042013184,945886639603310592,Directed,178,,2
1005591411042013184,947914487692234752,Directed,179,,1
1005591411042013184,993539066363826176,Directed,180,,1
1005591411042013184,994276795192086528,Directed,181,,3
1005716963077877760,1555647943276896257,Directed,182,,1
1005729743013138432,1243088479224913921,Directed,183,,1
1005729743013138432,1336061283972640773,Directed,184,,1
1005729743013138432,1488835812112441345,Directed,185,,2
1005729743013138432,1524716910318919681,Directed,186,,1
1005729743013138432,1556720657634889728,Directed,187,,1
1005729743013138432,772457957829316608,Directed,188,,1
1005811151974948865,1570884250555109377,Directed,189,,1
1005860425769148422,2502068521,Directed,190,,1
1006013095892811776,1496197498595069954,Directed,191,,1
1006208062414360577,1709211023071223808,Directed,192,,1
1006208062414360577,990463245914865664,Directed,193,,1
1006363137841475584,1201855714433675265,Directed,194,,1
1006589239,1243088479224913921,Directed,195,,1
1006589239,1249443053988769792,Directed,196,,1
1006589239,1360378196731047941,Directed,197,,1
1006589239,1556720657634889728,Directed,198,,1
1006589239,1570378242493943810,Directed,199,,1
1006589239,1587155181728325638,Directed,200,,1
1006589239,1638372580464685056,Directed,201,,1
1006589239,1638669060241076224,Directed,202,,1
1006589239,1676213344062021632,Directed,203,,1
1006589239,1679484670302646275,Directed,204,,1
