Id,Label,viralcentrality
1.49045e+18,VerminusM,0.0
1.49079e+18,iranioadad,0.0
1.49424e+18,DamDami,0.0
1.49188e+18,Aref13091625,0.0
1.49194e+18,farhadmahmoudi8,0.0
1.49201e+18,LibertyCappy,0.0
1.49207e+18,GharybEAshena,0.0
1.49212e+18,GoleAbi3,0.0
1.49268e+18,weirddalle,0.0
1.49278e+18,Nimpel_2,0.0
1.49352e+18,torojoonemola,0.0
1.49397e+18,fardinioo,0.0
1.50215e+18,ybensnkr888,0.0
1.50367e+18,nashenas012,0.0
1.50384e+18,Mahtabh2000,0.0
1.51789e+18,rarac_o,0.0
1.51213e+18,WoaxRey,0.0
1.51274e+18,Armanjasoor,0.0
1.51289e+18,validsource20,0.0
1.5138e+18,Mansoor_esf,0.0
1.51387e+18,MedissTavakoli,0.0
1.51424e+18,Avtradiing,0.0
1.5149e+18,GermanShirazi,0.0
1.51491e+18,Hqkaya,0.0
1.51502e+18,iifarrnazii,0.0
1.51795e+18,letodiona,0.0
1.51174e+18,shimaaa1232,0.0
1.5181e+18,ZechariahSharab,0.0
1.51868e+18,real_Ardalan,0.0
1.51889e+18,4CKIUI,0.0
1.51971e+18,EtehadPahlavism,0.0
1.52049e+18,Nobody_Y_S,0.0
1.52089e+18,Realneo101,0.0
1.52108e+18,Sheyshey1367,0.0
1.55273e+18,leonam_2,0.0
1.52146e+18,JTeimasi,0.0
1.51174e+18,E_hsan_2020,0.0
1.51174e+18,anamahmodiii,0.0
1.50407e+18,Iraniam_2583,0.0
1.50914e+18,sadezist81,0.0
1.50454e+18,a21pink222,0.0
1.50467e+18,AhooyePorKeresh,0.0
1.50505e+18,Ayshyshaki,0.0
1.50548e+18,Gerashchenko_en,0.0
1.50586e+18,mohmdmahdig,0.0
1.50611e+18,sarbazeshahiran,0.0
1.50749e+18,Persian_picture,0.0
1.50785e+18,ordakbarandaz,0.0
1.50913e+18,RPORED4,0.0
1.50925e+18,AzizBarandaz,0.0
1.51104e+18,mehdimoradi84,0.0
1.5093e+18,icecooffee7,0.0
1.50955e+18,koco_1923,0.0
1.50961e+18,Janatkhah_ir,0.0
1.50988e+18,la_roshfoko,0.0
1.50997e+18,gebad_,0.0
1.51001e+18,MrsJamesAnne,0.0
1.51039e+18,artoosham2000,0.0
1.51047e+18,RabbiApproves,0.0
1.51067e+18,itsmichalll,0.0
1.52121e+18,mohammadgntt,0.0
1.55491e+18,Mayekhal,0.0
1.5528e+18,EndWokeness,0.0
1.55397e+18,Kermatos,0.0
1.57398e+18,mehrvash_1,0.0
1.57401e+18,GOlVENUS,0.0
1.57401e+18,unknownproteste,0.0
1.57401e+18,VictoriousIran,0.0
1.57406e+18,anti_mola,0.0
1.57411e+18,saramobarez1,0.0
1.5742e+18,hana_paeizi,0.0
1.57426e+18,MohamedGolesta1,0.0
1.57435e+18,IMMEMOSH,0.0
1.57438e+18,OfArakis,0.0
1.57443e+18,GazaHealth,0.0
1.57447e+18,Behnaz610552955,0.0
1.57448e+18,Sunny_Azadi,0.0
1.57449e+18,amita_0302,0.0
1.5745e+18,Nargolsafa,0.0
1.57452e+18,Bibaak007,0.0
1.57453e+18,sourenasanto,0.0
1.57454e+18,iranrioter,0.0
1.57457e+18,mohammad_x100,0.0
1.57459e+18,Il_gladi_atore,0.0
1.57459e+18,tiregheib,0.0
1.57387e+18,SHAYA9000,0.0
1.57387e+18,yousef34095102,0.0
1.57384e+18,AlmaIran2012,0.0
1.57355e+18,morvari52612932,0.0
1.57339e+18,Neda73Neda,0.0
1.57339e+18,NedaBahar2,0.0
1.57341e+18,asayrshgah,0.0
1.57341e+18,Sheila75690425,0.0
1.57342e+18,vidarwarrior,0.0
1.57345e+18,trollsiasi,0.0
1.57348e+18,TahminA07011401,0.0
1.57351e+18,Faribatehrani4,0.0
1.57352e+18,Donya_iranii,0.0
1.57355e+18,BondarBidakhsh_,0.0
1.57379e+18,SedayeShahrivar,0.0
1.57359e+18,sitri00,0.0
1.57362e+18,NimaRefelz,0.0
1.57362e+18,iranianpappppi3,0.0
1.57362e+18,knbhgfk,0.0
1.57363e+18,sogolisogoliyan,0.0
1.5737e+18,BenSusaaa,0.0
1.57374e+18,phase_shad,0.0
1.57376e+18,imdearie2,0.0
1.57379e+18,MariaBabaie,0.0
1.57464e+18,ara_aaD2926__ij,0.0
1.57464e+18,MyEpiphany11,0.0
1.57465e+18,Sama_irooni,0.0
1.57676e+18,Shaheenchevv,0.0
1.57598e+18,ghasssabb,0.0
1.57599e+18,SBahrami2022,0.0
1.57602e+18,arezoubehrang_,0.0
1.57619e+18,khodabozorge,0.0
1.5763e+18,Mirfendereski_1,0.0
1.57633e+18,sarahshamsaei,0.0
1.57651e+18,MrAmir_30,0.0
1.57667e+18,ZTEAM1401,0.0
1.5767e+18,Thorin9900,0.0
1.57678e+18,PersianGulf2022,0.0
1.57581e+18,Baran_Macan,0.0
1.57683e+18,Robiin_Hoodx,0.0
